CAMIS,DBA,CUISINE DESCRIPTION,Latitude, Longitude,AVG_SCORE,AVG_GRADE,ADDRESS,BORO,ZIPCODE,PHONE
30075445,MORRIS PARK BAKE SHOP,Bakery Products/Desserts,40.84823122,-73.85597189,3.00,A,1007 MORRIS PARK AVENUE Bronx 10462,Bronx,10462,7188924968
40356018,RIVIERA CATERERS,American,40.57989566,-73.98208666,3.00,A,2780 STILLWELL AVENUE Brooklyn 11224,Brooklyn,11224,7183723031
40356483,WILKEN'S FINE FOOD,Sandwiches,40.62011159,-73.90698949,2.75,A,7114 AVENUE U Brooklyn 11234,Brooklyn,11234,7184443838
40356731,TASTE THE TROPICS ICE CREAM,Frozen Desserts,40.64079502,-73.94848798,3.00,A,1839 NOSTRAND AVENUE Brooklyn 11226,Brooklyn,11226,7188560821
40357217,WILD ASIA,American,40.85053675,-73.88245508,3.00,A,2300 SOUTHERN BOULEVARD Bronx 10460,Bronx,10460,7182207846
40359705,NATHAN'S FAMOUS,Hotdogs,40.57553687,-73.98165226,3.00,A,1310 SURF AVENUE Brooklyn 11224,Brooklyn,11224,7183332202
40360045,SEUDA FOODS,Jewish/Kosher,40.60618692,-73.96546645,3.00,A,705 KINGS HIGHWAY Brooklyn 11223,Brooklyn,11223,7183751500
40361618,SAL'S DELI,Sandwiches,40.78167384,-73.83941598,3.00,A,12908 20 AVENUE Queens 11356,Queens,11356,7186619498
40361998,STEVE CHU'S DELI & GROCERY,Sandwiches,40.76457121,-73.93882546,3.00,A,3406 10 STREET Queens 11106,Queens,11106,7187268888
40362264,P & S DELI GROCERY,American,40.79262064,-73.96770962,3.00,A,730 COLUMBUS AVENUE Manhattan 10025,Manhattan,10025,2129323030
40362274,ANGELIKA FILM CENTER,American,40.72574362,-73.99747811,3.00,A,18 WEST HOUSTON STREET Manhattan 10012,Manhattan,10012,2129952570
40362432,HO MEI RESTAURANT,Chinese,40.75330591,-73.86429538,3.00,A,10305 37 AVENUE Queens 11368,Queens,11368,7187796903
40363298,CAFE METRO,American,40.75618542,-73.99056473,3.00,A,625 8 AVENUE Manhattan 10018,Manhattan,10018,2127149342
40363427,BAGELS N BUNS,Sandwiches,40.61026786,-74.14640121,2.50,A,2491 VICTORY BOULEVARD Staten Island 10314,Staten Island,10314,7187611900
40363834,CARVEL,Frozen Desserts,40.59855313,-74.07964601,3.00,A,1111 HYLAN BOULEVARD Staten Island 10305,Staten Island,10305,7188167807
40364179,MISS MAIME'S SPOONBREAD TOO,Soul Food,40.80137127,-73.96015994,3.00,A,364 WEST  110 STREET Manhattan 10025,Manhattan,10025,2128656744
