transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
03/20/2025 12:00:00 PM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,omny,OMNY - Full Fare,120,65,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 02:00:00 PM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Seniors & Disability,1,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 02:00:00 PM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Unlimited 7-Day,39,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 04:00:00 PM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,omny,OMNY - Full Fare,188,79,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 04:00:00 PM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Fair Fare,5,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 04:00:00 PM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Unlimited 30-Day,4,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 05:00:00 PM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,omny,OMNY - Seniors & Disability,10,2,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 05:00:00 PM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Unlimited 30-Day,6,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 06:00:00 PM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Unlimited 7-Day,38,0,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 08:00:00 PM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,omny,OMNY - Seniors & Disability,1,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 09:00:00 PM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Seniors & Disability,1,0,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 10:00:00 PM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Unlimited 30-Day,1,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 05:00:00 AM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,omny,OMNY - Full Fare,6,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 06:00:00 AM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,omny,OMNY - Students,5,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 07:00:00 AM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,omny,OMNY - Students,2,1,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 08:00:00 AM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Unlimited 30-Day,8,0,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 08:00:00 AM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,omny,OMNY - Full Fare,23,5,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 10:00:00 AM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,metrocard,Metrocard - Seniors & Disability,8,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 10:00:00 AM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,omny,OMNY - Seniors & Disability,10,2,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 11:00:00 AM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Unlimited 7-Day,36,0,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 11:00:00 AM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,omny,OMNY - Full Fare,102,45,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 12:00:00 PM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,omny,OMNY - Seniors & Disability,3,1,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 12:00:00 PM,tram,TRAM2,RI Tramway (Roosevelt),Manhattan,omny,OMNY - Seniors & Disability,4,0,40.75734,-73.95412,POINT (-73.95412 40.75734)
03/20/2025 01:00:00 PM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Other,2,0,40.761337,-73.96416,POINT (-73.96416 40.761337)
03/20/2025 01:00:00 PM,tram,TRAM1,RI Tramway (Manhattan),Manhattan,omny,OMNY - Students,3,1,40.761337,-73.96416,POINT (-73.96416 40.761337)
